condition,skin_feel,makeup_area,sunscreen_preference,body_concern,product_name,product_description,product_image_url
Skin Texture/Dullness,Dry,Eye areas only,Sunscreen applied separately,Itchy Skin,CeraVe Moisturizing Cream,"Rich, non-greasy, fast-absorbing moisturizing cream.",https://example.com/images/cerave_cream.jpg
Wrinkles and Fine Lines,Oily,Everywhere (eyes/face),Sunscreen combined with my moisturizer,Eczema,Neutrogena Rapid Wrinkle Repair,Clinically proven to help fade the look of deep wrinkles.,https://example.com/images/neutrogena_wrinkle_repair.jpg
Active Acne Breakout,Combination,I don’t wear makeup,Sunscreen applied separately,Psoriasis,AcneFree 3 Step Kit,Complete acne treatment system.,https://example.com/images/acnefree_kit.jpg
Dry Skin,Normal/Balanced,Eye areas only,Sunscreen combined with my moisturizer,Very Dry Skin,Cetaphil Moisturizing Lotion,"Lightweight, non-greasy moisturizer for long-lasting hydration.",https://example.com/images/cetaphil_lotion.jpg
Dark Spots,Dry,Everywhere (eyes/face),Sunscreen applied separately,Body Acne,Murad Rapid Age Spot and Pigment Lightening Serum,Diminishes the appearance of dark spots and pigmentation.,https://example.com/images/murad_serum.jpg
Help Prevent New Acne,Oily,Everywhere (eyes/face),Sunscreen combined with my moisturizer,"Cracked, Chafed Skin",Proactiv 3-Step System,Comprehensive acne treatment system.,https://example.com/images/proactiv_3_step.jpg
Dark Circles & Puffiness Around Eyes,Combination,Eye areas only,Sunscreen applied separately,Diabetic Skin,Olay Eyes Eye Cream,Reduces dark circles and puffiness around the eyes.,https://example.com/images/olay_eye_cream.jpg
Post-Acne Marks,Normal/Balanced,Everywhere (eyes/face),Sunscreen combined with my moisturizer,Rough & Bumpy Skin,Mederma Advanced Scar Gel,Reduces the appearance of scars from acne.,https://example.com/images/mederma_scar_gel.jpg
General Skincare Routine,Dry,Eye areas only,Sunscreen applied separately,General Bodycare,Clinique 3-Step Skin Care System,Basic skincare routine for all skin types.,https://example.com/images/clinique_3_step.jpg
Skin Texture/Dullness,Combination,I don’t wear makeup,Sunscreen applied separately,Itchy Skin,CeraVe Moisturizing Cream,"Rich, non-greasy, fast-absorbing moisturizing cream.",https://example.com/images/cerave_cream.jpg
Wrinkles and Fine Lines,Normal/Balanced,Everywhere (eyes/face),Sunscreen combined with my moisturizer,Eczema,Neutrogena Rapid Wrinkle Repair,Clinically proven to help fade the look of deep wrinkles.,https://example.com/images/neutrogena_wrinkle_repair.jpg
Active Acne Breakout,Dry,Eye areas only,Sunscreen applied separately,Psoriasis,AcneFree 3 Step Kit,Complete acne treatment system.,https://example.com/images/acnefree_kit.jpg
Dry Skin,Oily,Everywhere (eyes/face),Sunscreen combined with my moisturizer,Very Dry Skin,Cetaphil Moisturizing Lotion,"Lightweight, non-greasy moisturizer for long-lasting hydration.",https://example.com/images/cetaphil_lotion.jpg
Dark Spots,Combination,I don’t wear makeup,Sunscreen applied separately,Body Acne,Murad Rapid Age Spot and Pigment Lightening Serum,Diminishes the appearance of dark spots and pigmentation.,https://example.com/images/murad_serum.jpg
Help Prevent New Acne,Normal/Balanced,Everywhere (eyes/face),Sunscreen combined with my moisturizer,"Cracked, Chafed Skin",Proactiv 3-Step System,Comprehensive acne treatment system.,https://example.com/images/proactiv_3_step.jpg
Dark Circles & Puffiness Around Eyes,Dry,Eye areas only,Sunscreen applied separately,Diabetic Skin,Olay Eyes Eye Cream,Reduces dark circles and puffiness around the eyes.,https://example.com/images/olay_eye_cream.jpg
Post-Acne Marks,Oily,Everywhere (eyes/face),Sunscreen combined with my moisturizer,Rough & Bumpy Skin,Mederma Advanced Scar Gel,Reduces the appearance of scars from acne.,https://example.com/images/mederma_scar_gel.jpg
General Skincare Routine,Combination,Eye areas only,Sunscreen applied separately,General Bodycare,Clinique 3-Step Skin Care System,Basic skincare routine for all skin types.,https://example.com/images/clinique_3_step.jpg
